0,1,2,3,4,5,6,7,8,9
54628.0,51481.0,8264.0,12327.0,49552.0,38186.0,52982.0,,,
13468.0,10657.0,11757.0,7796.0,11320.0,46645.0,54772.0,10572.0,31255.0,
43428.0,31214.0,58844.0,19400.0,3810.0,85.0,12933.0,44257.0,33801.0,56131.0
28930.0,6192.0,14314.0,16273.0,37617.0,10441.0,27075.0,43030.0,,
58245.0,23676.0,17788.0,51685.0,30032.0,26298.0,,,,
54944.0,44840.0,20134.0,22634.0,3053.0,38927.0,53829.0,49156.0,8462.0,
8191.0,43790.0,31622.0,52001.0,45899.0,7762.0,,,,
17116.0,59404.0,43702.0,52937.0,,,,,,
49332.0,18096.0,,,,,,,,
42728.0,6779.0,5535.0,4230.0,51100.0,30795.0,5045.0,7300.0,,
11732.0,12397.0,45795.0,9548.0,,,,,,
9034.0,34945.0,12271.0,39410.0,51083.0,29223.0,1720.0,58451.0,,
43059.0,9158.0,48537.0,19213.0,,,,,,
13.0,29397.0,4702.0,4697.0,4726.0,4722.0,55549.0,29396.0,,
3811.0,37116.0,55733.0,10632.0,38838.0,8323.0,45433.0,8498.0,,
51074.0,31490.0,36857.0,59884.0,42843.0,54325.0,,,,
41905.0,41930.0,19773.0,36261.0,33181.0,,,,,
7581.0,15987.0,54021.0,2402.0,37623.0,23891.0,48268.0,26342.0,,
,,,,,,,,,
36694.0,38364.0,58884.0,30082.0,,,,,,
59627.0,34099.0,4631.0,1891.0,927.0,,,,,
49208.0,16985.0,29507.0,3006.0,36831.0,,,,,
54949.0,55277.0,22989.0,37730.0,6804.0,25981.0,17834.0,52120.0,,
56687.0,34144.0,56882.0,9402.0,50402.0,,,,,
57191.0,42919.0,48340.0,3967.0,,,,,,
51203.0,21185.0,,,,,,,,
14101.0,44440.0,21245.0,4677.0,41170.0,55010.0,46193.0,,,
19972.0,54254.0,34611.0,52269.0,,,,,,
31846.0,1779.0,45110.0,26322.0,1045.0,35038.0,,,,
30958.0,50754.0,53251.0,51100.0,17165.0,,,,,
24826.0,1519.0,36038.0,29350.0,55674.0,57172.0,40217.0,57312.0,,
34744.0,5916.0,,,,,,,,
10639.0,,,,,,,,,
44754.0,26747.0,59133.0,12661.0,23375.0,,,,,
40005.0,23574.0,28679.0,41772.0,37792.0,20469.0,58393.0,49513.0,44979.0,
38021.0,38528.0,,,,,,,,
52069.0,30468.0,,,,,,,,
18620.0,10198.0,39837.0,34387.0,22801.0,39404.0,8913.0,,,
43814.0,58545.0,10192.0,19374.0,47701.0,10316.0,48143.0,,,
1779.0,43790.0,57617.0,48082.0,20883.0,1911.0,4264.0,15998.0,,
41201.0,12289.0,19513.0,33781.0,27276.0,18139.0,21040.0,,,
45268.0,23428.0,55165.0,,,,,,,
52647.0,17187.0,1400.0,43017.0,39670.0,30629.0,22225.0,,,
49293.0,23407.0,11519.0,7503.0,20136.0,29474.0,18648.0,51820.0,23256.0,
8251.0,18760.0,11805.0,48084.0,8564.0,45254.0,21524.0,,,
,,,,,,,,,
16185.0,47176.0,29320.0,24115.0,3314.0,24930.0,,,,
40231.0,40359.0,18208.0,23899.0,47405.0,48941.0,,,,
,,,,,,,,,
46060.0,55232.0,52709.0,32645.0,22025.0,34832.0,,,,
10129.0,26403.0,24182.0,15797.0,,,,,,
51.0,33210.0,,,,,,,,
1312.0,24314.0,35319.0,50806.0,21615.0,,,,,
32453.0,40685.0,52838.0,33471.0,56007.0,52204.0,13518.0,56875.0,,
21475.0,21136.0,,,,,,,,
25137.0,10993.0,14934.0,6844.0,6469.0,11029.0,34168.0,5587.0,,
56900.0,12873.0,32119.0,20097.0,,,,,,
,,,,,,,,,
53801.0,51854.0,48203.0,44992.0,52509.0,13669.0,14068.0,,,
,,,,,,,,,
51955.0,2139.0,32576.0,27499.0,19393.0,35370.0,,,,
19640.0,40566.0,19523.0,,,,,,,
19164.0,43602.0,24468.0,53093.0,47368.0,16850.0,,,,
41248.0,51195.0,53254.0,33512.0,,,,,,
13.0,29397.0,4702.0,4697.0,4726.0,4722.0,55549.0,29396.0,,
53945.0,22429.0,12780.0,4808.0,27438.0,12639.0,23088.0,18195.0,,
27596.0,50066.0,8937.0,31530.0,57181.0,31334.0,30869.0,37080.0,,
32999.0,47306.0,42755.0,49228.0,2296.0,30527.0,35968.0,24937.0,26299.0,
57311.0,15998.0,39758.0,56112.0,53326.0,48323.0,47971.0,1253.0,6242.0,
,,,,,,,,,
21120.0,10263.0,37934.0,21357.0,52852.0,24962.0,32437.0,17385.0,,
54543.0,10975.0,32204.0,7199.0,,,,,,
40734.0,30445.0,,,,,,,,
30228.0,26610.0,56724.0,51329.0,57805.0,810.0,,,,
59571.0,,,,,,,,,
56815.0,18224.0,12160.0,,,,,,,
14099.0,37555.0,40842.0,17357.0,40183.0,13502.0,513.0,,,
52431.0,15620.0,49650.0,5511.0,,,,,,
25614.0,42500.0,3612.0,19021.0,40689.0,14666.0,56989.0,28612.0,26221.0,
34230.0,40099.0,41416.0,21214.0,57829.0,54572.0,10706.0,22643.0,,
51.0,33210.0,,,,,,,,
15143.0,609.0,52081.0,20244.0,16545.0,44527.0,59003.0,3846.0,,
57005.0,53941.0,59648.0,8488.0,21186.0,59738.0,,,,
18631.0,49778.0,,,,,,,,
13.0,29397.0,4702.0,4697.0,4726.0,4722.0,55549.0,29396.0,,
36455.0,45134.0,34086.0,48052.0,47290.0,55795.0,59000.0,,,
23341.0,18438.0,28441.0,,,,,,,
23109.0,16434.0,51292.0,58234.0,29600.0,,,,,
4114.0,15276.0,54068.0,30684.0,14060.0,33061.0,16984.0,,,
2910.0,38412.0,38096.0,22739.0,46177.0,,,,,
21194.0,18463.0,56383.0,45661.0,,,,,,
8098.0,,,,,,,,,
15883.0,37942.0,19213.0,3639.0,23710.0,56457.0,33837.0,3336.0,43059.0,
54521.0,54842.0,6113.0,232.0,19259.0,25146.0,30003.0,33056.0,29145.0,
53372.0,23539.0,30032.0,15450.0,16282.0,6847.0,,,,
58019.0,49858.0,22226.0,5738.0,37303.0,19036.0,,,,
25403.0,45032.0,9425.0,,,,,,,
49805.0,15241.0,56095.0,,,,,,,
56897.0,,,,,,,,,
10458.0,26653.0,32121.0,20792.0,22547.0,30427.0,,,,
33161.0,33007.0,11794.0,36927.0,1164.0,43455.0,10009.0,,,
58414.0,11253.0,28360.0,47727.0,36840.0,44527.0,54529.0,16432.0,55693.0,18837.0
,,,,,,,,,
20788.0,23698.0,45806.0,9028.0,55526.0,28938.0,,,,
12639.0,999.0,12780.0,58136.0,10847.0,54920.0,,,,
25195.0,25425.0,36867.0,51012.0,57112.0,53356.0,8882.0,25795.0,,
23645.0,49468.0,,,,,,,,
,,,,,,,,,
28422.0,6446.0,40320.0,53947.0,,,,,,
28815.0,3581.0,11665.0,3681.0,45434.0,,,,,
45358.0,16867.0,36533.0,57743.0,11242.0,44630.0,48801.0,,,
56379.0,10316.0,55755.0,26366.0,57239.0,37924.0,,,,
35584.0,,,,,,,,,
33402.0,6788.0,15449.0,50037.0,9787.0,29681.0,,,,
25654.0,44498.0,17358.0,39742.0,28863.0,6528.0,,,,
16468.0,15000.0,28063.0,,,,,,,
2668.0,56698.0,36187.0,21510.0,1802.0,59152.0,,,,
1400.0,37809.0,23151.0,25640.0,3277.0,28117.0,14384.0,36374.0,21859.0,35985.0
,,,,,,,,,
56112.0,28506.0,5375.0,44645.0,26832.0,37676.0,19262.0,30745.0,20963.0,
